"","data_sheet","measuring_date","body_of_water","year","fish_id","other_id","measured_by","picture_direction","sl","body_depth","ap_length","ap_length_corrected","ap_width","ap_width_corrected","ap_pa","jaw_length","plate_l_combined","plate_r_combined","plate_l_1","plate_l_2","plate_l_3","plate_l_4","plate_l_5","plate_l_6","plate_l_7","plate_l_8","plate_l_9","plate_l_10","plate_l_11","plate_r_1","plate_r_2","plate_r_3","plate_r_4","plate_r_5","plate_r_6","plate_r_7","plate_r_8","plate_r_9","plate_r_10","plate_r_11","plate_l_total","plate_r_total","plate_lr_total","ppl","ppw","pp_pa","dorsal_1","dorsal_1_pa","dorsal_2","dorsal_2_pa","pelvic_spine","pelvic_spine_pa","sex","dorsal_3","dorsal_3_pa","eye_diameter","parasites","parasite_type","juvenile","eggs","opened_before_picture","comments","general_comments","collection_comments","time_period","type","body_depth.adj","ap_length.adj","ap_width.adj","jaw_length.adj","ppl.adj","ppw.adj","dorsal_1.adj","dorsal_2.adj","pelvic_spine.adj","eye_diameter.adj"
"1",1,2024-09-11,"Boulton Lake",2022,"HG220982",NA,"ZM","L",61.59,13.95,NA,NA,NA,NA,"N",5.51,"4567","567",0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4,3,7,NA,NA,"N",3.69,"Y",NA,"N",NA,"N","M",NA,"N",5.66,"Y","schisto",NA,NA,"Y",NA,NA,NA,"Present","Unarmoured",12.7625412145524,NA,NA,4.97442219686758,NA,NA,3.53560267160549,NA,NA,5.30547971784488
"2",1,2024-09-11,"Boulton Lake",2022,"HG220997",NA,"ZM","L",53.69,12,4.28,4.28,0.91,0.91,"Y",4.82,"56","56",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,4,NA,NA,"N",3.45,"Y",NA,"N",2.81,"Y","M","1.27","Y",5.06,"Y","round",NA,NA,NA,NA,NA,NA,"Present","Unarmoured",12.7285627043996,4.51954068675692,0.966510894860779,5.15785592716342,NA,NA,3.54909431897688,NA,2.89661006185735,5.28155853649906
"3",1,2024-09-16,"Boulton Lake",2022,"HG220989",NA,"ZM","L",58.42,12.76,NA,NA,NA,NA,"N",4.37,"4567","456",0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,3,7,NA,NA,"N",3.75,"Y",NA,"N",NA,"N","F","1.22","Y",4.93,"Y","schisto",NA,NA,NA,"Huge schisto",NA,NA,"Present","Unarmoured",12.3577684268424,NA,NA,4.21204242862689,NA,NA,3.69273380695906,NA,NA,4.81651534022303
"4",1,2024-09-16,"Boulton Lake",2022,"HG220985",NA,"ZM","L",55.95,14.42,NA,NA,NA,NA,"N",4.73,"567","5678",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,4,7,NA,NA,"N",3.11,"Y",NA,"N",NA,"N","?","1.46","Y",5.18,"Y","round, schisto",NA,NA,NA,"Round in gut",NA,NA,"Present","Unarmoured",14.6308482476774,NA,NA,4.80958012101238,NA,NA,3.13176539979738,NA,NA,5.23496010668522
"5",1,2024-09-16,"Boulton Lake",2022,"HG221019",NA,"ZM","L",48.12,10.95,NA,NA,NA,NA,"N",3.59,"5678","5678",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,4,4,8,NA,NA,"N",3.52,"Y",4.19,"Y",NA,"N","F","1.56","Y",4.04,"N",NA,NA,3,NA,NA,NA,NA,"Present","Unarmoured",13.0696809748699,NA,NA,4.39972875417782,NA,NA,3.83234986263747,4.54000639743864,NA,4.59470032725104
"6",1,2024-09-16,"Boulton Lake",2022,"HG221014",NA,"ZM","L",57.26,14.05,NA,NA,NA,NA,"N",4.8,"67","67",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,4,NA,NA,"N",3.15,"Y",NA,"N",NA,"N","M","0.98","Y",4.83,"Y","schisto",NA,NA,NA,"Multiple schisto",NA,NA,"Present","Unarmoured",13.9043493322647,NA,NA,4.74285126905038,NA,NA,3.13426875740621,NA,NA,4.7935434858148
"7",1,2024-09-16,"Boulton Lake",2022,"HG221016",NA,"ZM","L",56.32,12.61,NA,NA,NA,NA,"N",5.26,"567","567",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,6,NA,NA,"N",3.04,"Y",2.92,"Y",NA,"N","M","1.06","Y",4.75,"N",NA,NA,NA,NA,NA,NA,NA,"Present","Unarmoured",12.7038401783344,NA,NA,5.30501600150355,NA,NA,3.05084806429541,2.92983185723589,NA,4.77567453878955
"8",1,2024-09-16,"Boulton Lake",2022,"HG221018",NA,"ZM","L",57.95,13.62,NA,NA,NA,NA,"N",5.25,"5678","678",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,3,7,NA,NA,"N",3.35,"Y",NA,"N",NA,"N","M","1.16","Y",5.13,"Y","schisto",NA,NA,NA,"Schisto large and juvenile",NA,NA,"Present","Unarmoured",13.3059645862095,NA,NA,5.11110907053081,NA,NA,3.31266530021694,NA,NA,5.04372759068928
"9",1,2024-09-16,"Boulton Lake",2022,"HG221020",NA,"ZM","L",47.3,11.02,NA,NA,NA,NA,"N",3.41,"567","5678",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,4,7,NA,NA,"N",3.33,"Y",NA,"N",NA,"N","F","1.19","Y",4.32,"N",NA,NA,3,NA,NA,NA,NA,"Present","Unarmoured",13.3990866363462,NA,NA,4.26903831837612,NA,NA,3.65789131403735,NA,NA,4.97974597188638
"10",1,2024-09-16,"Boulton Lake",2022,"HG220986",NA,"ZM","L",57.95,12.26,5.56,5.56,1.18,1.18,"Y",4.82,"5678","67",0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,6,5.32,2.41,"Y",4.01,"Y",4.21,"Y",1.87,"Y","F","0.78","Y",4.76,"N",NA,NA,2,NA,"Underdeveloped pelvic plate, AP on left only",NA,NA,"Present","Unarmoured",11.9773220137245,5.44145231240455,1.15219708153039,4.69248489903972,5.19712047923161,2.31398517012144,3.96530980712535,4.16571012562299,1.84766827906305,4.67994996718927
